Host,IP,asn_registry,asn,asn_cidr,asn_description,asn_country_code,nets
1694.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
16dt-serrurier-rennes.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.48.0.0/13, 13.24.0.0/13, 13.56.0.0/14, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
16hugo-dijon.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.188.0.0/16, 15.180.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
20goalard-bayonne.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
2c2f.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.180.0.0/14, 15.184.0.0/14, 15.188.0.0/16, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
3foch.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.32.0.0/12, 13.48.0.0/13, 13.56.0.0/14, 13.24.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
3satao.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.179.0.0/16, 15.184.0.0/14, 15.180.0.0/14, 15.188.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
51avenue.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.180.0.0/14, 15.188.0.0/16, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
53-briand-montrouge.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.180.0.0/14, 15.179.0.0/16, 15.188.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
93saintlazare.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.32.0.0/12, 13.56.0.0/14, 13.24.0.0/13, 13.48.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
